label,loc_radius,loc_theta,loc_x,loc_y,loc_z,loc_radius_sph,loc_theta_sph,loc_phi_sph
MEG 2312,0.64,-59.31,0.32,-0.55,0.0,0.63,-60.09,0.0
MEG 2313,0.69,-52.13,0.42,-0.55,0.0,0.69,-52.13,0.0
MEG 2311,0.66,-55.57,0.37,-0.55,0.0,0.66,-55.57,0.0
MEG 2323,0.88,-55.63,0.5,-0.73,0.0,0.88,-55.63,0.0
MEG 2322,0.94,-50.55,0.6,-0.72,0.0,0.94,-50.55,0.0
MEG 2321,0.91,-53.01,0.55,-0.73,0.0,0.91,-53.01,0.0
MEG 2332,1.19,-76.4,0.28,-1.16,0.0,1.19,-76.4,0.0
MEG 2333,1.22,-71.81,0.38,-1.16,0.0,1.21,-71.66,0.0
MEG 2331,1.2,-74.08,0.33,-1.16,0.0,1.2,-74.08,0.0
MEG 2343,0.91,-75.46,0.23,-0.88,0.0,0.91,-75.46,0.0
MEG 2342,0.94,-69.52,0.33,-0.88,0.0,0.94,-69.52,0.0
MEG 2341,0.92,-72.44,0.28,-0.88,0.0,0.92,-72.44,0.0
MEG 2412,0.66,-5.55,0.66,-0.06,0.0,0.66,-5.55,0.0
MEG 2413,0.76,-4.76,0.76,-0.06,0.0,0.76,-4.76,0.0
MEG 2411,0.71,-5.13,0.71,-0.06,0.0,0.71,-5.13,0.0
MEG 2423,0.88,-11.32,0.86,-0.17,0.0,0.88,-11.32,0.0
MEG 2422,0.98,-10.12,0.96,-0.17,0.0,0.97,-10.23,0.0
MEG 2421,0.93,-10.69,0.91,-0.17,0.0,0.93,-10.69,0.0
MEG 2433,0.87,-34.65,0.71,-0.49,0.0,0.85,-34.49,0.0
MEG 2432,0.95,-31.19,0.81,-0.49,0.0,0.95,-31.18,0.0
MEG 2431,0.91,-32.84,0.76,-0.49,0.0,0.9,-32.66,0.0
MEG 2442,0.63,-33.44,0.52,-0.35,0.0,0.63,-33.44,0.0
MEG 2443,0.71,-28.95,0.62,-0.34,0.0,0.71,-28.94,0.0
MEG 2441,0.67,-31.05,0.57,-0.35,0.0,0.67,-31.05,0.0
MEG 2512,1.15,-58.71,0.6,-0.98,0.0,1.15,-58.7,0.0
MEG 2513,1.21,-54.62,0.7,-0.98,0.0,1.21,-54.62,0.0
